Format Version,1.1,Take Name,Take 2018-06-08 05.29.20 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.29.20.683 PM,Total Frames,140,Rotation Type,Quaternion
66,0.550000,-0.000082,-0.000187,-0.000012,1.000000,0.286943,0.552874,-0.837665,0.000025,0.227648,0.554429,-0.781257,0.944195,0.288476,0.549731,-0.879062,0.952808,0.344705,0.554462,-0.852677,0.950349,0.227641,0.554430,-0.781235,0.288487,0.549732,-0.879060,0.344704,0.554461,-0.852700
67,0.558333,0.000012,-0.000106,0.000064,1.000000,0.286902,0.552905,-0.837652,0.000015,0.227616,0.554440,-0.781234,0.968193,0.288429,0.549770,-0.879049,0.982554,0.344661,0.554504,-0.852672,0.961015,0.227625,0.554440,-0.781240,0.288434,0.549770,-0.879051,0.344647,0.554504,-0.852664
68,0.566667,0.000055,-0.000086,-0.000076,1.000000,0.286929,0.552899,-0.837654,0.000013,0.227645,0.554446,-0.781233,0.978691,0.288453,0.549767,-0.879051,0.967992,0.344688,0.554483,-0.852676,0.974757,0.227652,0.554445,-0.781235,0.288456,0.549768,-0.879039,0.344681,0.554482,-0.852686
69,0.575000,-0.000051,-0.000044,0.000292,1.000000,0.286920,0.552892,-0.837659,0.000079,0.227640,0.554408,-0.781233,0.845460,0.288444,0.549753,-0.879056,0.886800,0.344677,0.554516,-0.852686,0.794994,0.227685,0.554400,-0.781258,0.288471,0.549759,-0.879054,0.344605,0.554520,-0.852665
70,0.583333,-0.000070,-0.000015,0.000352,1.000000,0.286916,0.552897,-0.837661,0.000079,0.227640,0.554408,-0.781233,0.790385,0.288438,0.549756,-0.879058,0.897748,0.344672,0.554528,-0.852692,0.835297,0.227689,0.554410,-0.781285,0.288439,0.549753,-0.879053,0.344622,0.554524,-0.852645
71,0.591667,0.000226,-0.000056,-0.000012,1.000000,0.286911,0.552890,-0.837658,0.000027,0.227630,0.554411,-0.781233,0.932036,0.288433,0.549773,-0.879056,0.957874,0.344668,0.554488,-0.852683,0.947786,0.227647,0.554409,-0.781249,0.288432,0.549774,-0.879048,0.344653,0.554488,-0.852675
72,0.600000,0.000273,0.000162,0.000238,1.000000,0.286931,0.552891,-0.837653,0.000060,0.227674,0.554376,-0.781202,0.835223,0.288437,0.549778,-0.879053,0.930616,0.344681,0.554519,-0.852703,0.876466,0.227712,0.554377,-0.781246,0.288437,0.549776,-0.879054,0.344644,0.554519,-0.852659
73,0.608333,0.000102,0.000110,0.000314,1.000000,0.286919,0.552901,-0.837644,0.000064,0.227657,0.554396,-0.781201,0.833055,0.288430,0.549774,-0.879043,0.920063,0.344671,0.554532,-0.852690,0.861106,0.227696,0.554398,-0.781242,0.288434,0.549771,-0.879042,0.344628,0.554529,-0.852649
74,0.616667,0.000203,-0.000013,0.000104,1.000000,0.286920,0.552885,-0.837661,0.000060,0.227644,0.554394,-0.781232,0.855749,0.288439,0.549766,-0.879060,0.919519,0.344676,0.554495,-0.852692,0.865703,0.227679,0.554393,-0.781264,0.288447,0.549766,-0.879057,0.344633,0.554494,-0.852663
75,0.625000,0.000142,-0.000102,-0.000021,1.000000,0.286893,0.552898,-0.837653,0.000016,0.227607,0.554429,-0.781235,0.964178,0.288419,0.549773,-0.879052,0.955531,0.344652,0.554491,-0.852674,0.982383,0.227605,0.554430,-0.781224,0.288432,0.549773,-0.879067,0.344641,0.554491,-0.852668
76,0.633333,-0.000011,-0.000156,0.000141,1.000000,0.286938,0.552872,-0.837665,0.000025,0.227646,0.554401,-0.781253,0.950834,0.288470,0.549736,-0.879062,0.955837,0.344698,0.554480,-0.852680,0.940600,0.227656,0.554404,-0.781250,0.288486,0.549736,-0.879075,0.344674,0.554480,-0.852671
77,0.641667,-0.000094,-0.000120,0.000179,1.000000,0.286933,0.552885,-0.837650,0.000026,0.227645,0.554419,-0.781234,0.962516,0.288462,0.549742,-0.879047,0.957815,0.344692,0.554495,-0.852669,0.921717,0.227659,0.554419,-0.781233,0.288478,0.549744,-0.879046,0.344663,0.554494,-0.852669
78,0.650000,-0.000076,-0.000138,0.000016,1.000000,0.286888,0.552912,-0.837653,0.000017,0.227599,0.554463,-0.781240,0.957234,0.288418,0.549769,-0.879050,0.959081,0.344648,0.554503,-0.852670,0.980688,0.227592,0.554463,-0.781226,0.288429,0.549769,-0.879063,0.344644,0.554502,-0.852672
79,0.658333,-0.000402,-0.000214,0.000335,1.000000,0.286939,0.552877,-0.837661,0.000048,0.227640,0.554427,-0.781257,0.906830,0.288477,0.549709,-0.879055,0.888219,0.344701,0.554495,-0.852670,0.914750,0.227644,0.554429,-0.781237,0.288514,0.549708,-0.879086,0.344661,0.554494,-0.852660
80,0.666667,-0.000304,-0.000224,0.000111,1.000000,0.286900,0.552897,-0.837640,0.000029,0.227600,0.554462,-0.781237,0.944381,0.288437,0.549736,-0.879035,0.915600,0.344662,0.554492,-0.852648,0.968655,0.227593,0.554462,-0.781214,0.288460,0.549736,-0.879057,0.344642,0.554492,-0.852648
81,0.675000,-0.000004,-0.000104,0.000097,1.000000,0.286905,0.552889,-0.837662,0.000014,0.227619,0.554422,-0.781244,0.967627,0.288432,0.549752,-0.879059,0.977492,0.344664,0.554492,-0.852683,0.973148,0.227623,0.554425,-0.781242,0.288440,0.549752,-0.879072,0.344652,0.554492,-0.852672
82,0.683333,0.000032,-0.000070,0.000089,1.000000,0.286913,0.552904,-0.837651,0.000016,0.227630,0.554435,-0.781229,0.966003,0.288437,0.549771,-0.879049,0.974169,0.344670,0.554508,-0.852676,0.965876,0.227637,0.554438,-0.781227,0.288446,0.549771,-0.879060,0.344656,0.554508,-0.852668
83,0.691667,0.000064,-0.000043,0.000150,1.000000,0.286928,0.552885,-0.837648,0.000044,0.227649,0.554405,-0.781223,0.927588,0.288450,0.549755,-0.879046,0.932606,0.344685,0.554496,-0.852676,0.877762,0.227671,0.554410,-0.781226,0.288478,0.549750,-0.879056,0.344639,0.554486,-0.852668
84,0.700000,-0.000078,0.000010,0.000215,1.000000,0.286910,0.552887,-0.837658,0.000031,0.227637,0.554415,-0.781227,0.931343,0.288429,0.549745,-0.879055,0.963913,0.344665,0.554501,-0.852692,0.916133,0.227656,0.554415,-0.781240,0.288439,0.549745,-0.879061,0.344636,0.554501,-0.852674
85,0.708333,-0.000294,-0.000201,0.000397,1.000000,0.286935,0.552874,-0.837669,0.000066,0.227637,0.554404,-0.781263,0.871813,0.288472,0.549714,-0.879064,0.852046,0.344696,0.554502,-0.852679,0.877445,0.227648,0.554408,-0.781234,0.288520,0.549714,-0.879103,0.344639,0.554500,-0.852663
86,0.716667,-0.000072,-0.000140,0.000251,1.000000,0.286882,0.552907,-0.837654,0.000065,0.227591,0.554429,-0.781240,0.879412,0.288413,0.549765,-0.879051,0.879289,0.344641,0.554525,-0.852671,0.852296,0.227615,0.554435,-0.781225,0.288455,0.549765,-0.879079,0.344580,0.554524,-0.852654
87,0.725000,0.000114,-0.000084,0.000078,1.000000,0.286922,0.552880,-0.837663,0.000034,0.227638,0.554402,-0.781243,0.938160,0.288447,0.549754,-0.879061,0.951221,0.344680,0.554484,-0.852686,0.908037,0.227655,0.554404,-0.781246,0.288467,0.549753,-0.879074,0.344645,0.554483,-0.852674
88,0.733333,-0.000187,-0.000084,0.000222,1.000000,0.286916,0.552884,-0.837666,0.000037,0.227631,0.554423,-0.781247,0.937609,0.288442,0.549733,-0.879063,0.918498,0.344673,0.554496,-0.852690,0.921195,0.227640,0.554425,-0.781233,0.288468,0.549733,-0.879076,0.344639,0.554494,-0.852689
89,0.741667,0.000178,0.000025,0.000083,1.000000,0.286937,0.552869,-0.837660,0.000037,0.227666,0.554383,-0.781226,0.909028,0.288454,0.549748,-0.879059,0.975245,0.344692,0.554476,-0.852695,0.892499,0.227691,0.554385,-0.781247,0.288469,0.549744,-0.879081,0.344654,0.554476,-0.852654
90,0.750000,0.000108,0.000133,0.000113,1.000000,0.286901,0.552901,-0.837662,0.000036,0.227642,0.554420,-0.781215,0.908991,0.288408,0.549774,-0.879060,0.964137,0.344653,0.554509,-0.852710,0.913435,0.227665,0.554420,-0.781237,0.288415,0.549773,-0.879069,0.344624,0.554510,-0.852681
91,0.758333,0.000106,-0.000047,-0.000090,1.000000,0.286905,0.552893,-0.837667,0.000009,0.227626,0.554436,-0.781241,0.978639,0.288426,0.549766,-0.879065,0.972653,0.344663,0.554478,-0.852694,0.993715,0.227623,0.554437,-0.781234,0.288434,0.549765,-0.879075,0.344657,0.554478,-0.852690
92,0.766667,-0.000035,-0.000064,0.000219,1.000000,0.286903,0.552895,-0.837643,0.000019,0.227621,0.554417,-0.781220,0.959715,0.288427,0.549757,-0.879040,0.975327,0.344660,0.554511,-0.852668,0.948617,0.227631,0.554420,-0.781223,0.288438,0.549756,-0.879050,0.344640,0.554511,-0.852656
93,0.775000,-0.000025,-0.000089,0.000120,1.000000,0.286907,0.552893,-0.837645,0.000022,0.227623,0.554425,-0.781225,0.963142,0.288433,0.549755,-0.879042,0.940399,0.344665,0.554498,-0.852668,0.966528,0.227622,0.554427,-0.781211,0.288450,0.549755,-0.879054,0.344648,0.554497,-0.852671
94,0.783333,0.000122,0.000029,0.000308,1.000000,0.286904,0.552890,-0.837648,0.000048,0.227632,0.554384,-0.781214,0.908477,0.288421,0.549765,-0.879046,0.945641,0.344658,0.554521,-0.852684,0.859601,0.227660,0.554386,-0.781228,0.288445,0.549765,-0.879059,0.344606,0.554520,-0.852657
95,0.791667,-0.000208,-0.000151,0.000414,1.000000,0.286913,0.552892,-0.837658,0.000071,0.227621,0.554411,-0.781246,0.872230,0.288446,0.549740,-0.879053,0.879360,0.344672,0.554526,-0.852674,0.824919,0.227650,0.554416,-0.781240,0.288491,0.549741,-0.879081,0.344602,0.554524,-0.852655
96,0.800000,0.000166,0.000006,-0.000055,1.000000,0.286918,0.552891,-0.837652,0.000017,0.227645,0.554423,-0.781220,0.956407,0.288435,0.549768,-0.879051,0.972157,0.344674,0.554481,-0.852685,0.966487,0.227655,0.554423,-0.781230,0.288434,0.549769,-0.879045,0.344664,0.554481,-0.852681
97,0.808333,0.000218,0.000040,0.000055,1.000000,0.286933,0.552891,-0.837650,0.000021,0.227664,0.554404,-0.781214,0.940909,0.288448,0.549773,-0.879049,0.958746,0.344688,0.554496,-0.852687,0.973312,0.227676,0.554404,-0.781229,0.288440,0.549774,-0.879033,0.344683,0.554495,-0.852687
98,0.816667,0.000038,0.000005,0.000090,1.000000,0.286897,0.552905,-0.837638,0.000052,0.227624,0.554434,-0.781207,0.881983,0.288415,0.549772,-0.879036,0.922365,0.344653,0.554509,-0.852671,0.882936,0.227654,0.554434,-0.781230,0.288423,0.549776,-0.879027,0.344615,0.554509,-0.852655
99,0.825000,-0.000042,-0.000013,0.000226,1.000000,0.286944,0.552883,-0.837653,0.000048,0.227668,0.554405,-0.781224,0.879971,0.288464,0.549744,-0.879050,0.943271,0.344700,0.554500,-0.852684,0.886364,0.227698,0.554402,-0.781252,0.288472,0.549742,-0.879054,0.344662,0.554498,-0.852652
100,0.833333,0.000139,0.000070,0.000032,1.000000,0.286947,0.552883,-0.837652,0.000029,0.227681,0.554408,-0.781213,0.916926,0.288459,0.549759,-0.879051,0.973111,0.344701,0.554483,-0.852693,0.936409,0.227700,0.554408,-0.781236,0.288460,0.549756,-0.879057,0.344681,0.554482,-0.852664
101,0.841667,-0.000047,0.000029,0.000153,1.000000,0.286897,0.552911,-0.837645,0.000036,0.227626,0.554442,-0.781211,0.931768,0.288414,0.549771,-0.879043,0.952342,0.344652,0.554519,-0.852682,0.897908,0.227647,0.554442,-0.781221,0.288430,0.549771,-0.879047,0.344615,0.554518,-0.852669
102,0.850000,0.000057,-0.000226,-0.000079,1.000000,0.286926,0.552892,-0.837651,0.000024,0.227626,0.554439,-0.781247,0.934070,0.288462,0.549760,-0.879049,0.960229,0.344689,0.554476,-0.852658,0.964170,0.227612,0.554440,-0.781230,0.288467,0.549759,-0.879060,0.344697,0.554475,-0.852664
103,0.858333,-0.000066,-0.000078,0.000277,1.000000,0.286904,0.552913,-0.837645,0.000042,0.227620,0.554432,-0.781224,0.918044,0.288430,0.549773,-0.879042,0.945644,0.344661,0.554535,-0.852669,0.885920,0.227643,0.554434,-0.781230,0.288453,0.549772,-0.879061,0.344617,0.554534,-0.852648
104,0.866667,-0.000100,-0.000051,0.000319,1.000000,0.286946,0.552883,-0.837652,0.000043,0.227665,0.554401,-0.781227,0.917172,0.288470,0.549740,-0.879048,0.947961,0.344702,0.554509,-0.852679,0.878857,0.227688,0.554403,-0.781236,0.288493,0.549739,-0.879065,0.344657,0.554508,-0.852655
105,0.875000,-0.000068,-0.000041,0.000256,1.000000,0.286936,0.552898,-0.837645,0.000033,0.227657,0.554420,-0.781219,0.945134,0.288459,0.549757,-0.879042,0.948889,0.344693,0.554517,-0.852673,0.906480,0.227673,0.554421,-0.781222,0.288479,0.549758,-0.879049,0.344657,0.554517,-0.852667
106,0.883333,0.000187,-0.000010,0.000136,1.000000,0.286945,0.552887,-0.837647,0.000017,0.227669,0.554394,-0.781217,0.954000,0.288465,0.549767,-0.879045,0.985162,0.344701,0.554500,-0.852678,0.961335,0.227680,0.554395,-0.781229,0.288467,0.549766,-0.879050,0.344689,0.554500,-0.852661
107,0.891667,0.000353,0.000097,0.000050,1.000000,0.286921,0.552898,-0.837636,0.000027,0.227658,0.554396,-0.781193,0.921829,0.288431,0.549791,-0.879036,0.960538,0.344674,0.554506,-0.852679,0.954488,0.227673,0.554397,-0.781216,0.288424,0.549790,-0.879030,0.344665,0.554506,-0.852661
108,0.900000,-0.000002,-0.000018,0.000370,1.000000,0.286926,0.552898,-0.837636,0.000062,0.227649,0.554399,-0.781208,0.892123,0.288448,0.549763,-0.879034,0.915563,0.344682,0.554533,-0.852667,0.822155,0.227683,0.554402,-0.781218,0.288483,0.549764,-0.879051,0.344615,0.554531,-0.852648
109,0.908333,0.000126,0.000155,0.000178,1.000000,0.286926,0.552895,-0.837644,0.000033,0.227668,0.554404,-0.781195,0.928683,0.288432,0.549770,-0.879043,0.964163,0.344676,0.554511,-0.852694,0.908760,0.227688,0.554406,-0.781209,0.288445,0.549771,-0.879052,0.344644,0.554513,-0.852672
110,0.916667,0.000351,0.000093,-0.000052,1.000000,0.286906,0.552911,-0.837634,0.000057,0.227643,0.554422,-0.781191,0.856479,0.288416,0.549804,-0.879034,0.912579,0.344660,0.554507,-0.852676,0.891531,0.227677,0.554419,-0.781225,0.288414,0.549806,-0.879018,0.344628,0.554508,-0.852659
111,0.925000,0.000009,-0.000109,0.000111,1.000000,0.286953,0.552882,-0.837659,0.000031,0.227666,0.554412,-0.781242,0.931850,0.288480,0.549747,-0.879057,0.968484,0.344712,0.554487,-0.852680,0.913760,0.227685,0.554412,-0.781256,0.288493,0.549745,-0.879066,0.344681,0.554486,-0.852656
112,0.933333,-0.000230,-0.000082,0.000390,1.000000,0.286898,0.552917,-0.837638,0.000070,0.227614,0.554441,-0.781218,0.871574,0.288425,0.549763,-0.879034,0.883819,0.344655,0.554547,-0.852662,0.825951,0.227644,0.554448,-0.781213,0.288468,0.549763,-0.879062,0.344586,0.554545,-0.852642
113,0.941667,0.000087,-0.000101,0.000169,1.000000,0.286950,0.552884,-0.837657,0.000035,0.227664,0.554398,-0.781239,0.924898,0.288477,0.549756,-0.879055,0.925852,0.344708,0.554498,-0.852678,0.940485,0.227670,0.554403,-0.781223,0.288500,0.549755,-0.879082,0.344679,0.554498,-0.852663
114,0.950000,0.000228,-0.000003,-0.000221,1.000000,0.286946,0.552880,-0.837666,0.000020,0.227672,0.554425,-0.781235,0.955185,0.288463,0.549762,-0.879065,0.964137,0.344703,0.554453,-0.852697,0.957960,0.227679,0.554420,-0.781251,0.288453,0.549761,-0.879068,0.344701,0.554457,-0.852678
115,0.958333,-0.000426,-0.000177,0.000368,1.000000,0.286931,0.552895,-0.837669,0.000056,0.227636,0.554444,-0.781261,0.910899,0.288466,0.549725,-0.879063,0.893166,0.344691,0.554517,-0.852682,0.857306,0.227658,0.554448,-0.781249,0.288504,0.549724,-0.879073,0.344635,0.554512,-0.852679
116,0.966667,0.000164,-0.000016,0.000058,1.000000,0.286909,0.552892,-0.837655,0.000026,0.227633,0.554411,-0.781226,0.942407,0.288429,0.549769,-0.879053,0.963820,0.344666,0.554495,-0.852685,0.938831,0.227649,0.554411,-0.781237,0.288434,0.549770,-0.879051,0.344645,0.554495,-0.852675
117,0.975000,0.000088,-0.000257,-0.000100,1.000000,0.286931,0.552893,-0.837658,0.000033,0.227628,0.554439,-0.781258,0.948926,0.288470,0.549764,-0.879055,0.919955,0.344695,0.554476,-0.852661,0.935713,0.227634,0.554441,-0.781241,0.288494,0.549764,-0.879066,0.344666,0.554474,-0.852667
118,0.983333,-0.000016,-0.000025,0.000162,1.000000,0.286912,0.552902,-0.837671,0.000047,0.227634,0.554429,-0.781244,0.911509,0.288433,0.549765,-0.879069,0.912642,0.344668,0.554512,-0.852701,0.894291,0.227650,0.554434,-0.781234,0.288463,0.549765,-0.879091,0.344624,0.554511,-0.852688
119,0.991667,0.000115,0.000058,0.000223,1.000000,0.286929,0.552889,-0.837658,0.000063,0.227661,0.554394,-0.781220,0.875709,0.288443,0.549763,-0.879056,0.923330,0.344683,0.554510,-0.852697,0.822196,0.227697,0.554395,-0.781240,0.288471,0.549764,-0.879068,0.344618,0.554509,-0.852666
120,1.000000,-0.000457,-0.000191,0.000418,1.000000,0.286904,0.552899,-0.837659,0.000063,0.227607,0.554445,-0.781253,0.895312,0.288440,0.549726,-0.879053,0.843478,0.344664,0.554525,-0.852671,0.885969,0.227613,0.554448,-0.781219,0.288488,0.549728,-0.879080,0.344611,0.554524,-0.852677
121,1.008333,-0.000200,0.000021,0.000364,1.000000,0.286931,0.552883,-0.837658,0.000047,0.227658,0.554407,-0.781226,0.898188,0.288449,0.549732,-0.879055,0.940295,0.344685,0.554511,-0.852694,0.878611,0.227682,0.554412,-0.781233,0.288475,0.549730,-0.879084,0.344638,0.554510,-0.852661
122,1.016667,0.000609,0.000175,-0.000397,1.000000,0.286933,0.552876,-0.837658,0.000024,0.227680,0.554399,-0.781205,0.959409,0.288434,0.549789,-0.879060,0.931846,0.344685,0.554441,-0.852709,0.965046,0.227683,0.554399,-0.781225,0.288415,0.549789,-0.879050,0.344701,0.554441,-0.852700
123,1.025000,-0.000158,-0.000033,0.000313,1.000000,0.286930,0.552897,-0.837653,0.000039,0.227652,0.554422,-0.781227,0.923714,0.288453,0.549749,-0.879049,0.948654,0.344687,0.554520,-0.852682,0.892261,0.227675,0.554423,-0.781238,0.288469,0.549750,-0.879053,0.344648,0.554520,-0.852667
124,1.033333,-0.000044,-0.000066,0.000067,1.000000,0.286925,0.552889,-0.837673,0.000019,0.227643,0.554431,-0.781250,0.961615,0.288448,0.549750,-0.879070,0.950599,0.344682,0.554488,-0.852698,0.975305,0.227638,0.554431,-0.781235,0.288462,0.549750,-0.879080,0.344673,0.554487,-0.852703
125,1.041667,0.000101,0.000120,0.000232,1.000000,0.286953,0.552866,-0.837681,0.000049,0.227692,0.554372,-0.781236,0.870203,0.288463,0.549739,-0.879080,0.953102,0.344705,0.554488,-0.852728,0.880690,0.227725,0.554368,-0.781269,0.288471,0.549737,-0.879093,0.344666,0.554490,-0.852683
126,1.050000,-0.000113,-0.000052,0.000264,1.000000,0.286901,0.552902,-0.837656,0.000035,0.227620,0.554428,-0.781232,0.945290,0.288425,0.549757,-0.879052,0.948453,0.344658,0.554521,-0.852683,0.896530,0.227639,0.554427,-0.781236,0.288446,0.549761,-0.879057,0.344619,0.554523,-0.852679
127,1.058333,-0.000158,-0.000150,0.000358,1.000000,0.286927,0.552886,-0.837674,0.000058,0.227635,0.554406,-0.781262,0.896407,0.288460,0.549738,-0.879070,0.897905,0.344687,0.554514,-0.852690,0.855496,0.227659,0.554413,-0.781256,0.288497,0.549738,-0.879091,0.344629,0.554513,-0.852677
128,1.066667,0.000210,0.000018,-0.000076,1.000000,0.286925,0.552895,-0.837665,0.000010,0.227654,0.554425,-0.781232,0.977075,0.288441,0.549776,-0.879064,0.989532,0.344681,0.554485,-0.852699,0.973834,0.227659,0.554424,-0.781240,0.288441,0.549776,-0.879072,0.344678,0.554487,-0.852685
129,1.075000,0.000076,-0.000193,-0.000058,1.000000,0.286923,0.552884,-0.837663,0.000011,0.227628,0.554427,-0.781256,0.980822,0.288457,0.549755,-0.879061,0.969259,0.344685,0.554472,-0.852674,0.985695,0.227626,0.554427,-0.781247,0.288465,0.549754,-0.879067,0.344678,0.554472,-0.852677
130,1.083333,-0.000191,-0.000164,0.000307,1.000000,0.286944,0.552881,-0.837667,0.000041,0.227651,0.554410,-0.781257,0.921344,0.288478,0.549730,-0.879063,0.910604,0.344704,0.554502,-0.852682,0.920119,0.227658,0.554413,-0.781241,0.288507,0.549729,-0.879086,0.344668,0.554501,-0.852672
131,1.091667,0.000073,-0.000133,0.000040,1.000000,0.286917,0.552892,-0.837664,0.000018,0.227628,0.554423,-0.781249,0.966569,0.288446,0.549762,-0.879061,0.965176,0.344677,0.554490,-0.852681,0.962218,0.227633,0.554424,-0.781243,0.288457,0.549762,-0.879070,0.344660,0.554490,-0.852676
132,1.100000,-0.000383,-0.000241,0.000309,1.000000,0.286923,0.552898,-0.837665,0.000073,0.227621,0.554449,-0.781264,0.871559,0.288463,0.549731,-0.879059,0.818467,0.344686,0.554514,-0.852671,0.872670,0.227627,0.554452,-0.781227,0.288520,0.549730,-0.879097,0.344625,0.554511,-0.852671
133,1.108333,0.000234,-0.000043,-0.000082,1.000000,0.286925,0.552875,-0.837668,0.000017,0.227646,0.554403,-0.781242,0.975622,0.288445,0.549758,-0.879067,0.972213,0.344682,0.554465,-0.852695,0.949712,0.227655,0.554404,-0.781241,0.288456,0.549759,-0.879067,0.344663,0.554463,-0.852695
134,1.116667,0.000086,0.000014,0.000169,1.000000,0.286922,0.552876,-0.837677,0.000043,0.227649,0.554391,-0.781245,0.902047,0.288440,0.549748,-0.879075,0.949615,0.344677,0.554490,-0.852711,0.891225,0.227675,0.554391,-0.781265,0.288452,0.549747,-0.879081,0.344640,0.554489,-0.852685
135,1.125000,0.000033,-0.000100,0.000029,1.000000,0.286925,0.552890,-0.837656,0.000030,0.227639,0.554427,-0.781237,0.938533,0.288451,0.549757,-0.879053,0.932613,0.344684,0.554486,-0.852677,0.950808,0.227643,0.554429,-0.781222,0.288471,0.549756,-0.879075,0.344659,0.554486,-0.852667
136,1.133333,-0.000158,-0.000153,0.000243,1.000000,0.286903,0.552903,-0.837654,0.000041,0.227611,0.554436,-0.781242,0.922499,0.288435,0.549754,-0.879050,0.877907,0.344663,0.554518,-0.852670,0.952041,0.227604,0.554437,-0.781210,0.288470,0.549754,-0.879081,0.344633,0.554517,-0.852671
137,1.141667,-0.000160,0.000052,0.000232,1.000000,0.286914,0.552884,-0.837660,0.000032,0.227645,0.554419,-0.781224,0.933422,0.288429,0.549735,-0.879057,0.959916,0.344668,0.554498,-0.852699,0.914765,0.227661,0.554421,-0.781230,0.288447,0.549734,-0.879074,0.344635,0.554498,-0.852678
138,1.150000,0.000153,0.000082,0.000203,1.000000,0.286939,0.552868,-0.837671,0.000054,0.227674,0.554371,-0.781230,0.851823,0.288451,0.549745,-0.879069,0.923848,0.344692,0.554488,-0.852712,0.897771,0.227707,0.554375,-0.781268,0.288446,0.549748,-0.879059,0.344663,0.554489,-0.852685
139,1.158333,-0.000318,-0.000202,0.000100,1.000000,0.286914,0.552898,-0.837665,0.000039,0.227617,0.554467,-0.781259,0.930806,0.288450,0.549736,-0.879060,0.885265,0.344676,0.554492,-0.852675,0.951657,0.227611,0.554466,-0.781229,0.288483,0.549736,-0.879085,0.344647,0.554491,-0.852680
